0.03, 2, red, Exit
0.07, 3, red, Exit
0.10, 4, red, Exit
0.13, 3, red, Exit
0.17, 2, red, Exit
0.23, 3, red, Exit
0.33, 2, red, Exit
0.40, 3, red, Exit
0.43, 2, red, Exit
0.47, 3, red, Exit
0.53, 2, red, Exit
0.57, 3, red, Exit
0.70, 2, red, Exit
0.73, 3, red, Exit
0.93, 1, red, Exit
1.00, 3, red, Exit
1.13, 2, red, Exit
1.16, 3, red, Exit
1.20, 2, red, Exit
1.26, 4, red, Exit
1.30, 1, red, Exit
1.33, 4, red, Exit
1.36, 2, red, Exit
1.43, 3, red, Exit
1.46, 1, red, Exit
1.50, 3, red, Exit
1.53, 4, red, Exit
1.70, 2, red, Exit
1.73, 3, red, Exit
1.80, 2, red, Exit
1.86, 3, red, Exit
1.96, 4, red, Exit
2.00, 1, red, Exit
2.03, 3, red, Exit
2.06, 4, red, Exit
2.10, 2, red, Exit
2.13, 2, yellow, Exit
2.16, 4, red, Exit
2.30, 3, red, Exit
2.33, 2, red, Exit
2.40, 3, red, Exit
2.50, 4, red, Exit
2.53, 2, red, Exit
2.56, 4, red, Exit
2.63, 2, red, Exit
2.66, 3, red, Exit
2.70, 2, red, Exit
2.76, 4, red, Exit
3.10, 3, red, Exit
3.16, 4, red, Exit
3.20, 1, red, Exit
3.23, 2, red, Exit
3.26, 3, red, Exit
3.69, 2, red, Exit
3.76, 3, red, Exit
3.83, 1, red, Exit
3.86, 3, red, Exit
3.89, 1, red, Exit
3.93, 2, red, Exit
3.99, 3, red, Exit
4.06, 1, red, Exit
4.09, 3, red, Exit
4.13, 4, red, Exit
4.16, 3, red, Exit
4.19, 1, red, Exit
4.23, 4, red, Exit
4.29, 2, red, Exit
4.33, 4, red, Exit
4.36, 2, red, Exit
4.39, 3, red, Exit
4.43, 4, red, Exit
4.53, 3, red, Exit
4.73, 2, red, Exit
4.93, 4, red, Exit
4.99, 3, red, Exit
5.06, 2, red, Exit
5.09, 3, red, Exit
5.19, 2, red, Exit
5.23, 3, red, Exit
5.26, 2, red, Exit
5.29, 4, red, Exit
5.36, 3, red, Exit
5.43, 1, red, Exit
5.46, 4, red, Exit
5.49, 1, red, Exit
5.53, 2, red, Exit
5.56, 3, red, Exit
5.63, 4, red, Exit
5.66, 2, red, Exit
5.73, 4, red, Exit
